Project ID,Class,Requirement
461,Reliability,Response to user errors and undesirable situations have been taken care of to ensure that the application runs without any uncertainty. '
461,Performance,'Performance of the app also depends on the kind of image of retina scan uploaded by the user; a clearer and proper image ensures better response time'
461,Safety,"'RetinaDoc is a consultation app which is not a substitute to any kind of treatment thereby reducing loss, damage and harm resulting from the use of the product.' "
461,Security,'RetinaDoc does not have any kind of third-party security requirements yet as any type of user can use it without any additional privileges.'
461,User-Friendly,"'It has well designed and easy to use interface, it can be used by both experts and typical users. '"
462,Scalability,"'The system's architecture is designed to be modular, and each module is independent, which allows for easy integration and scalability. '"
462,Reliability,'the system can be easily deployed using a SaaS model'
462,Performance,"'The system's NextJS framework provides built-in support for server-side rendering, code splitting, and optimized performance, which further enhances the system's  performance.'"
462,User-Friendly ,"'For more in-depth and comprehensive forensic investigations, while still maintaining the tool's lightweight and user-friendly nature.'"
463,Performance,"'We attain performance that is comparable to that of recent representative approaches, proving the correctness of our synthetic lips. "
463,Performance,'our technique converges roughly 5 times faster and infers data about 500 times faster than the industry standard AD-NeRF
464,Reliability,'The plugin provides an efficient and reliable tool for organizations to combat potential security threats in their email communication.'
464,Maintainability,'The decomposition of the Email Controls and Detection Engine into smaller modules and components allows for a more manageable and maintainable system.' 
464,Feasibility,"'This architecture also permits multiple clients to access shared resources and services, facilitating data and information sharing across multiple devices and users.'"
464,Adaptability,"'The system offer seamless integration with various email service providers, compatibility with Windows/Linux environments, and chromium-based browsers,'"
465,Security,'Security constraints for keeping user data confidential.'
465,Authentication,'The User Authentication service is a crucial part of this application that ensures only authorized users can access the protected routes within the application.'
465,Security,"'the application ensures that only authorized users can access sensitive data and features, protecting the user's privacy and maintaining the integrity of the application.'"
465,User-Friendly,"'The application ensures that users can easily upload, manage, and visualize their data, enabling them to make more informed decisions and improve the effectiveness of their work.'"
465,Reliability,"'The project utilizes RabbitMQ, a reliable and efficient message broker that enables the efficient routing and delivery of messages between different applications.'"
465,User-Friendly,'The user interface of our application allows for easy navigation and selection of preprocessing steps.'
466,Performance,'The proposed scheme for app is to make the sound detection operations light weight and faster.'
466,Accuracy,'The sound detection should be better and more accurate. '
466,Authorization,'The system should not allow any unauthorized user to view logs and history.'
466,Security,'Encryption of login credentials would be provided.'
466,Security,'The saved logs and history data would be protected.'
466,Authentication,'Authentication tokens would be used up to date. '
466,Reliability,'It would not malfunction or crash while running. '
466,Availability,'The system would be available to user all the time.'
467,Performance,'Performance requirement of the system is one of the main NFRs of smart campus system as the project is going to work on facial recognition system and number plate readings.
467,Performance,The response rate of facial or number plate recognition must be less than 2 seconds which is the maximum boundary line of the response time.
467,Safety,Safety is sub-set of the requirements which are directly related to ensuring safe operations and sometimes requirements on protection systems which are designed to protect against accidents. 
467,Authorization,The main controlling/admin system should place on a safe position to entertain only authorized bodies to avoid any harm by unauthorized bodies.
467,Safety,Ensure the integrity of the system from accidental or malicious damage. 
467,Authorization,Make sure all data inside the system or its part will be protected against malware attacks or unauthorized access.
467,Reliability,The system should be resilient and resistive to outside factors affecting it`s functionality and other operations.
467,Authorization,The access permissions for system data may only be changed by the systemÉ??s data administrator
467,Adaptability,"'Smart Campus system should adapt the new conditions but should not change it`s behaviour, system should work normally and according to given algorithms."
467,Maintainability, 'Maintainability is often measured at code level using Cyclomatic complexity so the Smart
467,Reliability,"'The system should be reliable under all given conditions, and all the modules should work simultaneously without interfering each other`s performance.' "
467,Interoperability,'No component should disturb the input or output of the other component or module.'
467,Portability,'The Smart Campus system solution is for all educational and training institutes so it should work perfectly in different environments or institutes as it will execute the same results and will work the same in other institutes.'
467,Usability, 'This can be measured in terms of ease of use. '
467,User-Friendly ,'The admin side panel or application interface must be user friendly. '
467,Usability,'There must be no complexity in the system usability.'
467,Correctness,"'The Smart Campus Project should be correct in terms of its functionality, calculations used internally, and the navigation should be correct. '"
467,Testability,"'The system should be easy to test and find defects. If required, it should be easy to divide into different modules for testing.'"
467,Adaptability,'Should be flexible enough to modify. Adaptable to other products with which it needs interaction.'
467,User-Friendly,'Should be easy to interface with other standard 3rd party components.'
467,Reusability,'Software reuse is a good cost-efficient and time-saving development method. '
467,Reusability,'Divide the application into different modules so that modules can be reused across the application.'
467,Interoperability,'Interoperability of one system to another should be easy for the product to exchange data or services with other systems.'
467,Interoperability,"'Different system modules should work on different operating system platforms, different databases, and protocol conditions.'"
468,Performance,'The system should respond to user inputs in a timely manner. It should not experience any significant delay in mouse movement.' 
468,Performance,'Test the system for response time and ensure that there is no noticeable delay in mouse movement.'
468,Reliability,'The system should not crash or freeze during use. It should be able to handle different types of user inputs.'
468,Reliability, 'Test the system for stability and ensure that it can handle different types of user inputs without crashing or freezing.'
468,Usability, 'The system should be easy to use and understand.'
468,User-Friendly,'It should have a user-friendly interface.'
468,Usability, 'Conduct user testing and ensure that users can easily use and navigate the system.'
468,Maintainability,'The system should be easy to update and maintain. System should have well-organized and documented code.'
468,Maintainability,'Review the code for maintainability and ensure that it is well-organized and documented. '
468,Security,'The system should not compromise user privacy or data. '
468,Security,'System should have appropriate security measures in place to protect against threats.'
468,Authentication,"'Camera module will only work, if user enters valid IP address.'"
468,Compatibility, 'The system should be compatible with different operating systems and hardware configurations.' 
468,Compatibility,'System should be able to work with different types of input devices.'
468,Adaptability,"'Test the system on different operating systems and hardware configurations, and ensure that it can work with different types of input devices.'"
469,User-Friendly,'The design of the application will try to focus on simplicity as to make it as simple as possible for users to use.' 
469,Reliability,"'It helps ensure that the product meets the project requirements, is reliable, and performs as expected. '"
469,Accuracy,'The Fake/Toxic Content Detection application provide high accuracy and realtime performance.' 
470,Performance,'The product should be scaled according to the framework of the working of the organization'
470,Performance,'Users should be able to use it at the same time without lagging due to multiple users. '
470, Safety,É??First StepÉ?? should provide the safety of the information and ensure that no loss of data occurs as the data is very crucial and the loss is extremely damaging.'
470,Safety, 'Safety of the data should be ensured by using a block-chain database which is a distributed ledger that assures the safety of the data in the database. '
470,Safety,'This ensures that the data will always be available to the users with no risk of losing confidential data.'
470,Security ,'The proposed solution must be capable of ensuring the security and privacy of the confidential data.'
470,Adaptability,"'The adaptability of the proposed product to the internal system is required, following the rules, regulations and procedures already in effect; this would be ensured by structuring the system according to the organizationÉ??s structure.'"
470,Authorization,' The authority of viewing and editing specified information is according to the regulations of FIA.'
470,Security,'The main objective of our proposed solution is to provide integrity to the system as it deals with confidential data.'
470,Security,'The product is required to be according to the legal laws followed by the organizations in the country.' 
471,Performance,'The image should not take more than 100 seconds to generate. '
471,Performance,"'The processing of the provided request should be seamless and quick, so that the user receives a response in a matter of seconds.'"
471,Performance,"'The system should function properly, Even if there are 1000 people on the website making a query or utilizing a service from the given services, the system's response should be seamless and not hindered by heavy traffic. '"
471,Safety,"'There should be a backup in case of any server-side failure, allowing the services to continue operating.'"
471,Safety,"'There must be alternative resources accessible for the damage so that it can be replaced regardless of the form of failure, such as disc damage or a cut off power supply.'"
471,Security ,Provision of OAuth token should be encrypted.'
471,Security ,'Communication protocol should be secure like https to have secure communication over the network. '
471,Security ,"'System should not store any personal information of the user, like location, name etc.'"
471,Security ,'OAuth should expire in 120 minutes.'
471,Availability,'The system should be available all the time to users.'
471,Usability,'The interface of the system must make sense to the average user and should require minimal explanation for how to use it.'
471,Scalability,'The system should incorporate all the necessary characteristics so it can be wrapped around by other apps and scale in size. '
471,Maintainability,"'The system should be maintainable. For development, it should be easy to add code to the existing system, and it should be easy to upgrade for new features and new technologies from time to time. "
471,Flexibility,'The system should be adaptable to other products with which it needs interaction. '
471,User-Friendly,'Should be easy to interface with other standard 3rd party components. '
472,Accessibility,"'A key element of RAS is the storage of data in a real-time database, which lets the administrator to easily access and handle the data gathered from the victim's device.'"
472,Security ,"'To protect the real-time database from unauthorised access or cyberattacks, it is crucial to incorporate strong security measures and access restrictions. '"
472,Security ,"'To avoid any potential misuse or invasion of privacy, it is crucial to stress that the preservation and use of such information should be done in compliance with ethical and legal standards.'"
472,Flexibility, 'Flexibility is important in application architecture as business needs can change rapidly.'
472,User-Friendly,"'The user interface is to be designed for being user-friendly and intuitive, for making it easy to navigate the app and accessing features.'"
472,Security ,'Uses secure encryption protocols to transmit data between the target device and the user's device.'
473,Performance,'The load time for interface screens shall take no longer than two seconds.'
473,Flexibility,'The device web application shall be supported by all browser types.'
473,Safety, 'The use of the SLS has no harms; nor does it have any possibility of loss or damage to the data of any external device connected to the same Wi-Fi router.'
473,Security ,'Access to the SLS will be protected by a user log in screen that requires a username and password.'
473,Security ,' 'The system will follow the customer privacy policy strictly.'
473,Reliability,'The system shall be able to work in a normal way after restarting'
473,Adaptability,'The experts will need a day of training to completely understand the system.'
473,Usability, 'The graphical user interface of the SLS is to be designed with usability in such a manner that is both visually appealing and easy for the user .'
447,Functionality,'The system is able to log out when user clicks the logout icon.'
447,Functionality,'The system is able to provide user with É??Open CameraÉ?ù option.'
447,Functionality,'The system is able to open mobile phoneÉ??s camera when user select associated option.'
447,Functionality,'System is able to take input image of stock provided by the user.'
447,Functionality,'System is able to scan the uploaded image for stock count. '
447,Functionality,'The system is able to recognize and count objects in the image.'
447,Functionality,'System is able to produce results on the screen for the users.'
447,Functionality,'System is able to produce list of scans on the homepage for the users.'
447,Functionality,'System allows the user to take screenshots of images and results as well as save in the mobile phoneÉ??s gallery.' 
447,Functionality,'The system is able to create a user account. '
447,Functionality,'The system is able to read and process the credentials provided by the users. '
447,Functionality,The system is able to provide users with the required credentialsÉl platform'
448,Functionality,"'The User and Admin if registered must be able to enter their name, id along with their password and authenticates themselves to enter the system.'"
448,Functionality,"'The User and Admin if logged into the system must be able to logout of the once, they have performed the activities. '"
448,Functionality,'The User and Admin if logged in must be able to save logs manually related to anomaly detected in videos. '
448,Functionality,'The User and Admin if logged in must be able to view logs related to videos in the database. '
448,Functionality,'The User and Admin if logged in must be able to view logs related to user in the database. '
448,Functionality,'The User and Admin if logged in must be able to set their profile picture by selecting in picture in JPG or PNG format. '
448,Functionality,'The User and Admin if logged must be able to change password as per requirement.'
448,Functionality,'The password can be combination of alphabets numbers and special characters. '
448,Functionality,'The User and Admin if not blocked by system must be able to recover and then change password by answering secret question.'
448,Functionality,"'The User and Admin if logged into the system must be able to set a secret question and its answer as a contingency , In case they forget password. '"
448,Functionality,"'The User and Admin if authorized after login must be able to select video clip for anomaly detection ,the video must be in mp4 format. '"
448,Functionality,'The User and Admin if logged in must be able to view the trends and graphs pertaining to user activities and types of anomalies occuring by day and time. '
448,Functionality,'The must be able to automatically save the log of anomaly detected in a video feed. '
448,Functionality,'The Admin must be able to create any new user of the system. '
448,Functionality,"'Trend analysis is one of the core functionality, enabling users to identify patterns and anticipate potential anomalies.'"
449,Functionality,'A daily description box appears where a user can write description about his daily experiences'
449,Functionality,'On the basis of the key words a certain emotion is picked from the category of emotions. '
449,Functionality,"'The Recommendations feature is one of the cores of the system after the identification of user emotional a recommender has to play its part in suggesting motivational thoughts, tips, exercises and meditation'"
449,Functionality,'Suggestions feature links directly to some content saved in database but is accessed online.'
449,Functionality,"'Report Log feature provides two different options, one is for daily report and one is for the question round report'"
449,Functionality,'Progress Report feature does the proper monitoring for the progress of the userÉ??s mental health. '
449,Functionality,"'Chat Box feature helps the user to directly communicate with the therapist, if needed.'"
449,Functionality,'Timer feature provides a counter clock of 5 minutes in which a user has to perform any exercise from the recommended ones. '
449,Functionality,'Question Round feature generates a question form This is a descriptive feedback where the use responds back to the system by answering the different descriptive questions'
449,Functionality,'Referring to consult a Professional Human Therapist feature will work in case if the user didnÉ??t find progress in his mental health.'
449,Functionality,'A user can share reports with a therapist for a better consultation.'
449,Functionality,'Human Therapist feature provides some already embedded professional on the application so that the user can directly consult with him/her and share their case.'
449,Functionality,'UserÉ??s Availability feature shows the available user to the therapist.'
449,Functionality,'System shows text boxes for enter information.'
450,Functionality,'The sensors are the first line of defense in an IDS for physical intruders.'
450,Functionality,'The analyzers are responsible for analyzing the data collected by the sensors and identifying potential security threats'
450,Functionality,"'The control panel, also known as the console, is the user interface for the IDS.'"
450,Functionality,'The response component is responsible for taking action when a security threat is detected'
450,Functionality,"'Laser fencing can provide continuous monitoring and detecting capabilities,'"
451,Functionality,"'When the user opens the application, the welcome screen will be displayed'"
451,Functionality,"'The main page of the app will be the home page, where the user will see two main options (upload image using camera or using gallery) '"
451,Functionality,'When the user click on the home remedies it will be routed to the home remedies page'
451,Functionality,'When the user clicks on the about diseases it will be routed to about diseases'
451,Functionality,'User will be able to upload image via camera of smartphone'
451,Functionality,'User will be able to upload image from Gallery of smartphone'
451,Functionality,'User will be able to Pick/ select image from the gallery '
452,Functionality,'Authentication feature allows user to login system by using ema password.'
452,Functionality,"'This feature works on the system's defined queries i.e., user English language phrases and return them a command for that specific query.'"
452,Functionality,'Every input input and the returned output of the system will be remotely accessed at the backend server of system.'
452,Functionality,' History feature allows the user to maintain their history of all the searches they made and are executed on the System.'
452,Functionality,'Console interaction feature allows the user to have a terminal-based interaction the console screen with the system.'
452,Functionality,'System shall allow user to login by enter email and password.'
452,Functionality,'System shall allow user to logout.'
452,Functionality,'System shall allow user to type English language phrases.'
452,Functionality,'System shall provide list recommended commands to help user.'
452,Functionality,'System shall allow user to be able to remotely access the website application server.'
452,Functionality,'System shall allow user to access all his/her typed queries.'
452,Functionality,'System shall provide console screen to user where they get result of query they typed.'
452,Functionality,'Systems should change screens will require sometime to load.'
453,Functionality,"'In this proposed system, we have minimized the delay of the robot'"
453,Functionality,'The robot starts working as soon as the command is receivedfromthe application'
453,Functionality,'As the camera of robot require 360-degree movement sothewe can control the rotation of camera'
453,Functionality,"'The conveyor belt movement require DC gear motor, as themotor speed decreases torque increases.'"
453,Functionality,"'For automatic switching, relays are used.'"
454,Functionality,"'One of the early stages of our product is speech recognition, and the major objective here is to transform the audio to text. '"
454,Functionality,' we are generating transcripts using Kaldi's artificial speech and acoustic model.'
454,Functionality,"'Users can edit this text in any way (add, remove, or update), and after a few steps, the changes will be audible in the user's audio'"
454,Functionality,'. The system's primary responsibility after that is to translate the text back into speech such that it has the effect of a revised transcript'
454,Functionality,"'There is the audio player, that the user can run to listen to their edits on the original audio.'"
454,Functionality,'User can also download the audio from the system.'
454,Functionality,'Voice synthesis allows for the preservation of an actor's voice while also translating it into several languages. '
455,Functionality,'The mobile application should allow the center staff to manage the dogs in their care.'
455,Functionality,"'The application should allow staff members to schedule appointments for the dogs, including medical appointments, training sessions, and grooming'"
455,Functionality,'The application should provide inventory management features that allow staff members to manage the supplies and equipment'
455,Functionality,'The application should have reporting and analytics feature that provides insights into the center's operations.'
455,Functionality,'The applicant should be able to send alerts and notifications to staff members '
455,Functionality,'The application should have communication features that allow staff members to communicate with each other'
455,Functionality,'The application should also provide features that allow staff members to manage the adoption process for the dogs'
456,Functionality,'The study focuses on image processing concepts combined with deep learning methods'
456,Functionality,'Our machine learning model will use algorithms to meet our applicationÉ??s needs.'
456,Functionality,"'The CXRs are preprocessed to enhance their quality and reduce noise, as discussed earlier.'"
456,Functionality,"'It is a basic software component that is used by database management systems to search, read, and retrieve data from a database. '"
456,Functionality,'A database server is a computer program that provides database services to other computer programs or terminals as defined by the clientÉ??server model.'
456,Functionality,'Once the CXR image is acquired it will be used as input to the deep learning model for TB detection '
457,Functionality,'The SLR application captures video data of sign language gestures using a camera '
457,Functionality,'TensorFlow library will be used as object detection API for the conversion of sign language into text.'
457,Functionality,"'Database Engine  is a basic software component that is used by database management systems to search, read, and retrieve data from a database.'"
457,Functionality,'The acquired video data is preprocessed to enhance its quality and reduce noise.'
457,Functionality,'Relevant features or characteristics of the sign language gestures are extracted from the preprocessed video data.'
457,Functionality,"'Once the features are extracted, they are used to recognize the sign language gestures.'"
457,Functionality,"'After the sign language gestures are recognized, the next step is to convert them into text or speech output.'"
457,Functionality,'The system will display the recognized sign language gestures in a graphical format.'
457,Functionality,'SLR applications may also include feedback mechanisms that allow users.'
458,Functionality,'User can request admin for account creation. '
458,Functionality,'User can then upload MRI files which will be processed by the trained model. '
458,Functionality,'User (doctor) will then review the result and add their remarks to it. '
458,Functionality,'User (patient) will be able to download or check their respective results. '
458,Functionality,'Registration request will be processed and credentials will be stored in database'
458,Functionality,'Login request will be verified and response will be generated accordingly. '
458,Functionality,'MRI images will be processed and evaluated under the trained model.'
458,Functionality,'Results will be stored in database and displayed upon request after authenticating and verifying the user.'
459,Functionality,"'It consists of various graphical components such as menus, buttons, and text boxes that allow the user to input the flowchart and receive the generated C++ code.'"
459,Functionality,'The flowchart editor is a key component of the app that allows the user to create a flowchart diagram'
459,Functionality,'The flowchart renderer is the back-end component of the app that takes the flowchart diagram created by the user'
459,Functionality,' The code generation engine is the component of the app that takes the output of the flowchart renderer'
459,Functionality,'The output panel is the component of the app that displays the generated C++ code to the user'
459,Functionality,'The settings panel is the component of the app that allows the user to configure various settings'
459,Functionality,'The help and support component of the app provides assistance and guidance to the user in using the app'
460,Functionality,'A user should be able to open the web application through browsers'
460,Functionality,'User will upload a video of maximum 20MBs from file system.'
460,Functionality,'User will record a video of maximum 20MBs with camera having specifications.'
460,Functionality,'Video will be sent to the server first for pre-processing.'
460,Functionality,"'Face encoder will use face detector model, dlib library and landmarks to detect the lips from face and then crops that portion of lips to create a sequence of frames.'"
460,Functionality,'ROI Generator will use the frames produced by face encoder to generate the ROI video'
460,Functionality,'Visual speech recognition will be done by model and will produce text.'
460,Functionality,'The text generated by model is converted to audio using python library.'
460,Functionality,'Audible audio generated by prediction model is displayed on userÉ??s screen along with text.'
461,Functionality,"'User Registration and Login System allows users to create an account, log in, and access the application's features.'"
461,Functionality,"'The web application should enable users to upload retinal images in various formats, such as JPEG or PNG.'"
461,Functionality,'To detect indications of diabetic retinopathy in retinal images'
461,Functionality,'The application should provide a diagnosis (Diseased/Non-Diseased)'
461,Functionality,'A database should be created to store users' credentials.'
461,Functionality,'The web application should be built using a suitable web application framework Django.'
461,Functionality,'The web application should have a unique and recognizable brand identity that reflects the purpose of the application'
462,Functionality,"'The application will give the user an array of tools that will allow for different types of data acquisition depending on the choice e.g. call logs, SMS messages, hardware details etc. '"
462,Functionality,'. The application will also give the functionality to the user to decode application data of certain applications which are to be specified later. '
462,Functionality,'The PC will be used to run the Android Forensics Suite and the Android Device will be connected to this PC using a USB cable'
462,Functionality,'Our system takes all the data from the Android device and stores it as an image. '
462,Functionality,'The user is able to connect and extract information from a connected and unlocked Android Device and view information as well as perform operations of '
462,Functionality,"'The user is able to browse files on the Android System, allowing him to download required files. '"
462,Functionality,'The user is able to capture the screen of the Android Phone. '
462,Functionality,'The user is able to get ADB shell access and run commands on the target device. '
462,Functionality,'The user is able to access power options like Fastboot and Samsung Odin Mode. '
462,Functionality,"'The user is able to see, select and copy system messages generated by processes. '"
462,Functionality,"'The user is able to see, select and copy ADB streams in the current connection. '"
463,Functionality,"'An interactive, visual interface for users to communicate with the chatbot. '"
463,Functionality,'The ability to understand and respond to audio-based input from users'
463,Functionality,'The ability to talk back and show emotions in response to user input or as part of a pre-defined conversation flow'
463,Functionality,'The ability to maintain a conversation history with each user and provide personalized responses based on the user's past interactions. '
463,Functionality,'Chat window
463,Functionality,'Chatbot engine
463,Functionality,"'Stores information about past interactions with users, including the conversation history and any personalization data. '"
463,Functionality,'The chatbot may need to integrate with external APIs or services to access additional data or functionality.'
464,Functionality,"'Users can authenticate their email accounts, fetch emails, and send them for analysis through the plugin. '"
464,Functionality,"'The Email Controls and Detection Engine provides a comprehensive analysis of each email component, identifying potential spam messages and generating a detailed PDF report outlining its findings. T'"
464,Functionality,"'Utilizing AI/ML techniques and data sets, the Email Controls and Detection Engine classifies and scores the emails based on their potential spamming nature. '"
464,Functionality,'Plugin component would be responsible for analyzing incoming emails for potential threats and sending requests to the backend server for further processing.'
464,Functionality,'Gmail SMTP component would handle the incoming and outgoing requests to google server for emails.'
464,Functionality,"'Backend Server component would be responsible for analyzing, scanning, and generating reports of the emails.'"
465,Functionality,' Frontend is responsible for handling input CSV format file and displaying output to user. '
465,Functionality,"'The backend of our application is built using Node.js and Express.js, which provides server-side logic for handling user requests'"
465,Functionality,'RabbitMQ is used to handle communication between Node.js Server and NLP engine'
465,Functionality,'The client is a web browser running on user device. User accesses the application through URL.'
465,Functionality,"'The server receives the file, stores on server, uses nltk libraries for applying preprocessing techniques.'"
465,Functionality,'User then clicks one of buttons for applying preprocessing techniques.'
465,Functionality,'Server apply those techniques and update it in database MongoDB using Django (back-end server).'
465,Functionality,'Server stores preprocessed data in a database (MongoDB).'
465,Functionality,'On proceeding to next step code is generated for changes we have made to CSV and user can download .py format file to local machines.'
465,Functionality,' Server then apply steps on CSV File on clicking buttons and client can view all changes applied to CSV file and then download the updated file.'
466,Functionality,'The system displays the login screen to the user'
466,Functionality,'The system displays the Register screen to the user.'
466,Functionality,'The app receives the authentication token and displays the main screen'
466,Functionality,'The system encrypts the password and send username and encrypted password to server.'
466,Functionality,"'The system asks for the time of reminder trigger, reminder Description, and Alarm settings'"
466,Functionality,"'The user selects the time, enters the Reminder description and configure the alarm settings.'"
