Sno.,Requirements,Multi_Class,NewClass
127,laser fencing is low maintenance option for border protection,Maintainability,SR
128,web application will be secured by hardening and protecting server and restricting access from outside,Confidentiality,SR
129,system should be able to block traffic to and from network that is identified to be potentially malicious,Immunity,SR
130,system shall focus on known and unknown malware family with aim of unearthing newly developed malware which are potentially harmful to android application,IntrusionD,SR
131,faketoxic content detection application provide high accuracy and realtime performance,Accuracy,SR
132,system should offer password strength measuring capability to suggest password security improvement to user,Functionality,SR
133,system shall use secure socket in all transaction that include any confidential customer information,Confidentiality,SR
134,system shall be able to distinguish legitimate user from an illegitimate one by use of unique behavioral biometrics,Authentication,SR
135,user and admin if authorized after login must be able to select video clip for anomaly detection video must be in mp format,Functionality,SR
136,system shall allow for easy maintenance,Maintainability,SR
137,system shall provide access only to legitimate user resist unathorised user accidental or unintended usage,Authorization,SR
138,system shall offer high level security it shall give access to authorized user only,Authorization,SR
139,system shall apply number of method such regular maintenance to facilitate reliability assurance of system,Maintainability,SR
140,an error message alert when an invalid patient is entered,Functionality,SR
141,entry of forensic evidence information function involves secure storage of information of evidence such dna test and fingerprint from crime scene,Functionality,SR
142,this ensures that data will always be available to user with no risk of losing confidential data,Confidentiality,SR
143,system shall be built such that it is secure possible from malicious interference,Confidentiality,SR
144,system shall filter harmful website against url of known harmful website,Immunity,SR
145,system will show alert message in case an anomaly ha been detected and it will also show panel of log of anomaly detected,IntrusionD,SR
146,system shall analyse network traffic and detects intrusion attack and threat to network,IntrusionD,SR
147,secure server will be required to ensure confidentiality of customer credit card and other detail,Confidentiality,SR
148,system shall allow access to authorised user only,Authorization,SR
149,system shall allow user to view spam,Functionality,SR
150,system shall put proper control for user input validation and configuration management to resist software tempering,Immunity,SR
151,system shall be able to ensure user password and data will be encrypted to ensure that user information is secured,Confidentiality,SR
152,system shall be able to encrypt communication,Confidentiality,SR
153,system shall make use of google map to all administrator to identify and alert nearest emergency service,Functionality,SR
154,system shall offer input validation,Immunity,SR
155,system shall use secure path of sending all useful credential to platform,Confidentiality,SR
156,product shall prevent player from viewing offensive or defensive grid of other player,Functionality,SR
157,system scanner may accept certain number of url that should test them for selected vulnerability,IntrusionD,SR
158,app wa found to be accurate in it code generation with minimal error,Accuracy,SR
159,there should be backup in case of any serverside failure allowing service to continue operating,Confidentiality,SR
160,system work well in reducing affiliated risk of error from inaccurate data format,Performance,SR
161,system must also allow user to communicate securely knowing that their confidential data is safe from eavesdropper,Confidentiality,SR
162,system should be able to analyze network traffic and detects intrusion attack and threat to network,IntrusionD,SR
163,all transaction at flea market require valid user id and password,Confidentiality,SR
164,system is supposed to alert user on malicious activity and recommend an action to be taken,Functionality,SR
165,result from scanning process must be reliable which mean minimum or no false positive,Integrity,SR
166,system shall automatically encrypt file that will be uploaded by user for storage using bit encryption key,Confidentiality,SR
167,system shall be able to detect spam message and direct them to spam in real time,IntrusionD,SR
168,access to sl will be protected by user log in screen that requires username and password,Confidentiality,SR
169,system should have appropriate security measure in place to protect against threat,Confidentiality,SR
170,use of password to control access to data to reduce corruption and preserve confidentiality,Authentication,SR
171,system shall have modular design catering for corrective perfective adaptive and preventive maintenance,Maintainability,SR
172,there must be alternative resource accessible for damage so that it can be replaced regardless of form of failure such disc damage or cut off power supply,Confidentiality,SR
173,system provide searchable encryption scheme with wellestablished and trusted underlying algorithm and primitive that will make our solution lightweight highly efficient more secure,Confidentiality,SR
174,system shall enable block initiation and new block record addition onto blockchain,Functionality,SR
175,maintenance of product will fall within established corporate maintenance window,Operational,SR
176,system shall enable detected cryptojacking domain or application to be logged along with date and time of detection,Auditing,SR
177,system shall enable facial recognition,Authentication,SR
178,product shall prevent input of malicious data product andor adjacent hardwaresoftware system data shall remain uncorrupted each time malicious data is input into product,Confidentiality,SR
179,system shall allow user to generate their ecc public and private key these key are to be used for encryption of aes encryption key and also for pdp,Confidentiality,SR
180,system should not violate law by not infringing privacy of sensitive user information and intellectual property right,Confidentiality,SR
181,main objective of our proposed solution is to provide integrity to system it deal with confidential data,Confidentiality,SR
182,system shall allow generation of public and private key these key will be used for encryption and decryption of aes symmetric key for safer key exchange,Functionality,SR
183,product shall free of computer virus,Confidentiality,SR
184,system shall be able to allow user to generate their ecc public and private key these key are to be used for encryption of aes encryption key and also for pdp,Confidentiality,SR
185,system shall ensure that watermark is an essential part of data it must continue even after signal processing and data manipulation including malicious operation that endeavor to remove watermark,Integrity,SR
186,system shall allow administrator to log in and set software to run and give desired alert from pc scanning server,Usability,SR
187,software is safetycritical one and is used to perform last line of defense protection against attack since defect in safetycritical software can lead to serious service disruption or server down time,Immunity,SR
188,system shall have ability of scanning imago of vehicle registration number and undergo pattern recognition for database matching,Functionality,SR
189,system should be accurate and easy to operate,Usability,SR
190,system shall be able to notify respected party of clinical incident even when there is fault,Availability,SR
191,enable registered user to change password if forgets password,Functionality,SR
192,system shall be able to block any illegitimate detection so to render efficiently utilise system resource,Immunity,SR
193,system database storing keywords will be secured against sql injection attack to reduce false positive,Immunity,SR
194,system will be used at national level offering reliability however it is hard to balance development time but it provides maturity fault tolerance and recoverability,Survivability,SR
195,system through pgp will incorporate both symmetric key and public key cryptography to ensure confidentiality of log file during transmission,Confidentiality,SR
196,system shall allow that user only ha access to or permitted data,Authorization,SR
197,system is compatible with all operating system,Portability,SR
198,system shall be monitoring and scanning network,Functionality,SR
199,system shall ensure that transaction id uuid and storage serial should be used for encryption by server and decryption by client,Functionality,SR
200,manual identification is not so fast more accurate and efficient for user to overcome those problem this application is design,Accuracy,SR
201,data integrity script will be run on weekly basis to verify integrity of database,Confidentiality,SR
202,system shall be able to take face picture of suspect,Functionality,SR
203,system shall be able to detect fraudulent transaction in reatime,IntrusionD,SR
204,system shall allow user to enter order information for tracking,Functionality,SR
205,authenticate and login user to web app,Functionality,SR
206,system shall allow user to change password,Functionality,SR
207,system shall use twoway authentication system by combining keyboard activity and mouse movement biometrics to improve security,Authentication,SR
208,accuracy of object detection is an important factor in determining efficiency of laser fencing system,Accuracy,SR
209,system should be able to match fingerprint at login,Authentication,SR
210,system shall distribute key for rsa digital signature,Functionality,SR
211,system is able to automatically adapt to email environment to constantly tune and improve spam detection,Maintainability,SR
212,to prevent attack system should generate random word and ask user to enter it correctly for multiple tryings,Confidentiality,SR
213,system shall allow an author who desire to protect hisher work from unauthorized use to upload an image to embed invisible digital watermark whenever submitting piece of art,Integrity,SR
214,maintenance of coc chain of custody function involves secure storage of information of evidence holder such cnic name and signature etc,Functionality,SR
215,user becomes vulnerable and all data of user is easily accessible to attacker and attacker can monitor userâs every activity,Functionality,SR
216,user authentication service is crucial part of this application that ensures only authorized user can access protected route within application,Authentication,SR
217,system shall allow cryptojacking application to be terminated unless user explicitly selects to ignore cryptojacking application,Immunity,SR
218,system encrypts password and send username and encrypted password to server,Functionality,SR
219,system shall allow an author who desire to protect hisher work from unauthorized use to upload an image with hisher visible digital watermark along with registration number,Functionality,SR
220,system provides physical security of data and provision for detection of fraud and abuse,Confidentiality,SR
221,system shall analyze detected vulnerability,Functionality,SR
222,system shall analyze detected vulnerability,Functionality,SR
223,us secure encryption protocol to transmit data between target device and user device,Confidentiality,SR
224,system shall be able to authenticate pin entered,Authentication,SR
225,system shall be able to authenticate pin entered,Authentication,SR
226,in this system rfid system should be linked to facial recognition system so that it function one access control security system functionality,Functionality,SR
227,system shall inspect ssl certificate,Functionality,SR
228,system shall inspect ssl certificate,Functionality,SR
229,system shall be able to check netstat and recent network connection to see if rogue node is victim of pivoting and if so trace attacking machine,IntrusionD,SR
230,system shall offer fugui statistical presentation of email spam detection and filtered email,Functionality,SR
231,system shall be able to secure uploaded file using aes algorithm with bit key system shall automatically encrypt file that will be uploaded by user for storage using bit encryption key,Confidentiality,SR
232,system shall allow user to check netstat and recent network connection to see if rogue node it victim of pivoting and if so trace attacking machine,Auditing,SR
233,all credit card information will be secured on server and only accessible by authorized izogn administrator information will be encrypted in database,Confidentiality,SR
234,system shall provide an easy to use gui for tracking,Usability,SR
235,system shall be able to send an alert message,Functionality,SR
236,user of software who is administrator log in and set software to run and give desired alert from pc scanning server,Functionality,SR
237,system shall allow for checking data integrity,Integrity,SR
238,system shall allow verification of watermarked image which is submitted twice or more by different author to protect ownerâs copyright,Integrity,SR
239,safety of data should be ensured by using blockchain database which is distributed ledger that assures safety of data in database,Confidentiality,SR
240,proposed system is efficient it is based on most secure and efficient encryption algorithm,Performance,SR
241,system shall allow be compatible with various platform,Portability,SR
242,everyone stakeholder and guest can have access to system and catalogue every client must have secure and private access to hisher data and service man can have access to every part of system all these access except guest tour access require identification through id and password,Confidentiality,SR
243,system shall be able to analyse detected vulnerability,IntrusionD,SR
244,main system is centered around security on online transaction hence it is secure,Confidentiality,SR
245,website must provide highest degree of security to registered user all transaction that are made must be secured sensitive information passed to and from website must be secured identity theft and other security related issue must be solved unauthorized transmission of sensitive information of user to third party website for reference must be avoided on basis of user agreement information must be processed all information about registered user must be securely stored in central database,Confidentiality,SR
246,system will be very reliable in classifying email correctly ham or spam since large dataset wa used to train classifier with various email labeled ham and spam respectively,Performance,SR
247,model ha an accuracy of on test data and between and on validation data making it quite dependable to predict outcome,Reliability,SR
248,system shall validate user password,Authentication,SR
249,system shall enable motion detection,Functionality,SR
250,reduce cost of maintenance,Maintainability,SR
251,system shall notify customer of change to it information policy,Confidentiality,SR
252,system shall display current tracking information about order,Functionality,SR
253,for each shot product shall mark shot hit or miss on defensive grid of defensive player,Functionality,SR
254,plutomail will offer spam protection at server level and eliminates need to install and update antispam software on each desktop,Immunity,SR
255,system shall allow only legitimate user to modify stored information,Integrity,SR
256,system shall be compatible with any android device,Portability,SR
257,system shall be able to inspect ssl certificate,Auditing,SR
258,system should not compromise user privacy or data,Confidentiality,SR
259,system shall allow average time taken to finish level verification add new block onto chain and displaying update notification to be minimal,Performance,SR
260,system shall be able to hash password,Confidentiality,SR
261,system shall provide an invisible digital watermark based on discrete wavelet transformation,Functionality,SR
262,system shall allow user to note hostname of rogue node well ssid of network it is connected to to know from which section on campus is attack being done,Functionality,SR
263,system offer little room for delayed data transmission and system failure due to error handling procedure and feedback,Survivability,SR
264,website shall make it user aware of it information practice before collection data from them via privacy policy accessible on all page of website,Confidentiality,SR
265,system shall encrypt file using aes algorithm,Confidentiality,SR
266,system shall have log in and logout capability which can be seen line of security which most system should posse for authentication and accountability purpose,Authentication,SR
267,system shall be able to determine whether login credential are valid or not and search for matching result of particular licence owner or vehicle information,Authorization,SR
268,system shall guarantee privacy of user data at all time,Confidentiality,SR
269,system shall ensure that only authorised user are granted access,Authorization,SR
270,system shall permit only cafeteria staff member who are on list of authorized menu manager to create or edit menu,Functionality,SR
271,system shall not permit input of wrong data type,Integrity,SR
272,system shall be able to note hostname of rogue node well ssid of network it is connected to so to know from which section on campus is attack being done,IntrusionD,SR
273,system shall provide reliability and fault tolerance through extensive stress testing,Survivability,SR
274,when hit result in sinking ship product shall mark ship sunk on defensive grid of defensive player,Functionality,SR
275,system shall enable authorised reversal of action,Integrity,SR
276,every user of system shall be authenticated and authorized,Confidentiality,SR
277,it is main issue we are thinking about well protect our user valuable and provide security for them,Confidentiality,SR
278,system shall allow user to create an account on system and log in using fingerprint,Authentication,SR
279,system shall provide log in and logout capability which can be seen first line of security which most system should posse for authentication and accountability purpose,Authentication,SR
280,system shall reduce occurrence of failure in system,Survivability,SR
281,system should be able to match current faceprint with faceprints in database,Authentication,SR
282,product shall allow player to position ship diagonally on their grid,Functionality,SR
283,system must be reliable for more than year,Reliability,SR
284,system shall look at port scanning only on host it will be deployed on this will devote all listen to one part of many policy in computer,Functionality,SR
285,transactionâs digital signature are validated by ethereum protocol,Authentication,SR
286,plugin provides an efficient and reliable tool for organization to combat potential security threat in their email communication,Reliability,SR
287,system shall restrict illegal sharing of video content protected by copyright providing secure algorithm for downloading and playback,Authorization,SR
288,database should be created to store user credential,Functionality,SR
289,system shall ensure that watermark an essential part of data remains even after signal processing and data manipulation including any malicious activity,Survivability,SR
290,system shall allow change to be made in an authorised manner,Integrity,SR
291,system shall in event that watermarked image is submitted twice or more by different author administrator shall be able to verify legitimate owner of image to protect copyright,Immunity,SR
292,system shall allow user to create profile and set credential,Functionality,SR
293,communication protocol should be secure like http to have secure communication over network,Confidentiality,SR
294,when hit result in sinking ship product shall indicate type of ship sunk on defensive grid of defensive player,Functionality,SR
295,product shall have securitythe product shall provide authentication and authorization,Confidentiality,SR
296,system shall ensure encryption of data during transmission,Confidentiality,SR
297,system shall be compatible with different desktop platform,Portability,SR
298,systemâs digital watermark agency shall control remote network an administrator and that is where agent are stored,Functionality,SR
299,ab shall handle all expected and unexpected error in way that prevent loss in information and long downtime period,Fault Tolerance,SR
300,system should warn eca user about malfunction of system,Fault Tolerance,SR
301,authentication and authorization of user is first function of system it will load,Functionality,SR
302,it must allow user to download backup of their medical information,Functionality,SR
303,system shall be able to show client kyc information to authorised user,Authorization,SR
304,system shall have log in and log out capability which can be seen first line of security which most system should posse for authentication and accountability purpose,Authentication,SR
305,physicianpharmacist must have valid user login to access system,Functionality,SR
306,system shall ask user to provide password,Authentication,SR
307,system digital watermarking platform creates an environment for embedding and extracting watermark from an image,Performance,SR
308,product shall ensure that it can only be accessed by authorized user product will be able to distinguish between authorized and unauthorized user in all access attempt,Confidentiality,SR
309,system shall allow secure storage of client information,Confidentiality,SR
310,for each shot product shall examine defensive grid of defensive player to determine whether shot wa hit or miss,Functionality,SR
311,system shall blacklist any user that ha done identity theft,Immunity,SR
312,system shall perform verification to determine user and access right,Authorization,SR
313,software will look at port scanning only on host it will be deployed on this will devote all listen to one part of many policy in computer,IntrusionD,SR
314,system shall be able to detect whether input credential are authentic then accept or else reject if credential are incorrect,Authentication,SR
315,saved log and history data would be protected,Confidentiality,SR
316,our solution will be practical solution to provide an application with accurate detection of brain tumor in mri image,Accuracy,SR
317,system shall maintain information on log in and log out for accountability,Auditing,SR
318,system shall report when form of identity theft is noticed,IntrusionD,SR
319,if invalid attempt are made block user,Confidentiality,SR
320,system shall offer error handling capability,Survivability,SR
321,system shall be compatible with microsoft window operating system,Operational,SR
322,system shall allow user to be authenticated through use of digitally signed certificate and again singlesignon functionality will be fused into system to allow once off authentication long session is deemed active and valid,Authentication,SR
323,system is able to read and process credential provided by user,Functionality,SR
324,system shall utilize http communication to ensure data confidentiality,Confidentiality,SR
325,system shall be efficient it will be able to do near realtime anomaly detection instead of batch processing giving result almost instantly,Performance,SR
326,system shall allow administrator to embed invisible digital watermark whenever an author submits piece of art,Functionality,SR
327,system shall be able to filter incoming traffic if it is from proxy server,Immunity,SR
328,full data backup must be created daily,Confidentiality,SR
329,system shall authenticate user at beginning each session,Functionality,SR
330,system shall show panel for log of anomaly detected,Auditing,SR
331,all user of system shall login using some form of unique identification,Confidentiality,SR
332,system shall generate report of detected and analyzed vulnerability,Functionality,SR
333,system shall generate report of detected and analyzed vulnerability,Functionality,SR
334,system should be able to detect cryptojacking quickly in timelymanner,Performance,SR
335,this system will be doing near real time anomaly detection instead of batch processing hence it will give result almost instantly,Performance,SR
336,system shall be used to detect presence of malware in an android application identify possible malware family and classify them accordingly into their family,IntrusionD,SR
337,system shall have an optional email field for recovery in case one forgets password reset link will be sent to that email with instruction,Authentication,SR
338,system should have good interface easy to use and should have button with label to assist user to accomplish their goal communicating confidential result in secure manner,Usability,SR
339,defect report will be available to technical unit on x basis,Availability,SR
340,system should be able to identify current location of patient in time of emergency,Functionality,SR
341,embedding module of invisible digital watermark is implemented using discrete cosine transform dct,Functionality,SR
342,application will run if system ha reliable internet connection,Reliability,SR
343,system shall ensure integrity and consistency in all it process,Integrity,SR
344,system shall automatically store credential information in central database,Confidentiality,SR
345,system shall use honeypot which record and analysis packet flowing through network honeypot is system decoy which is used to make attacker believe that heshe is attacking intended system,IntrusionD,SR
346,system shall ensure that user log into system if credential are valid otherwise it directs user back to login page user should input another licence number or vehicle registration number,Authentication,SR
347,failed login will alert physicianpharmacist,Functionality,SR
348,system component shall be built with reusability so it can be integrated into other system,Maintainability,SR
349,system shall report motion and alert responsible party after analyzing condition without aid of external motion detection sensor,Functionality,SR
350,system shall allow authorized user to edit patient detail,Authorization,SR
351,main controllingadmin system should place on safe position to entertain only authorized body to avoid any harm by unauthorized body,Authorization,SR
352,system shall ensure that id performance is sufficient enough to carry out real timeintrusiond real time mean that an intrusion ha to be detected before significant damage ha occurred,Performance,SR
353,system shall guarantee reliability and resilient to failure,Survivability,SR
354,gps tracking feature shall enable realtime fleetmanagement,Functionality,SR
355,system shall provide report on intrusion their classification and action taken,Functionality,SR
356,if invalid attempt are made then block user,Authentication,SR
357,system connects to web application server and display result of ssl connection including what ssl certificate is installed and whether it give out correct intermediate certificate,Authentication,SR
358,only authorized user shall have access to clinical site information,Confidentiality,SR
359,product shall retain user preference in event of failure,Fault Tolerance,SR
360,result will be stored in database and displayed upon request after authenticating and verifying user,Functionality,SR
361,only authorized user shall have access to student personal information,Confidentiality,SR
362,final product should be accurate in processing uploaded video,Accuracy,SR
363,system shall provide report monthly regarding anomaly detected,Functionality,SR
364,system shall be able to generate report of detected and analysed vulnerability,IntrusionD,SR
365,system shall allow user to enter contact number for support personnel to call,Functionality,SR
366,can purchase any product through valid credit card,Functionality,SR
367,system shall allow radiologist to encrypt and upload image to cloud,Confidentiality,SR
368,system shall allow doctor to download decrypt and decompress image,Functionality,SR
369,system shall provide security principle such authentication,Functionality,SR
370,system shall notify administrator of proxy requesting ip address or identity,IntrusionD,SR
371,unauthorised user can only read data without modifying anything,Confidentiality,SR
372,accuracy in case of deletion is greater than,Accuracy,SR
373,user will be asked for permission to record voice first,Functionality,SR
374,system should be compatible with different operating system and hardware configuration,Adaptability,SR
375,system must provide service that are user friendly reliable and flexible,Usability,SR
376,system shall ensure digital watermark agency is able to dispatch agent collect and report processed information from visited host within network,Functionality,SR
377,system shall report finding of ssl certificate phase,Functionality,SR
378,system shall ensure that in event there are new attribute encountered anomaly detection part come in basing on information system already ha make prediction on new data,Functionality,SR
379,system shall only be accessed by authorized corporate community grant ccr employee user must be authenticated using their ibm intranet user name and password,Confidentiality,SR
380,system shall allow user authentication process to be done through trusted party via internet,Authentication,SR
381,system shall provide all internal user backup of operational and transactional data,Survivability,SR
382,system shall ensure that confidential information can only be accessed to right individual,Authorization,SR
383,system shall allow user to move email to or from spam folder,Functionality,SR
384,system should only grant access to legitimate user and in defined stamp,Authorization,SR
385,dispute system shall provide view access capability for authorized user of application,Functionality,SR
386,system shall provide guidance on how to secure file,Usability,SR
387,system shall be able to push warning script to rogue node,Functionality,SR
388,product shall notify building personnel of equipment transport request,Functionality,SR
389,system us hmac to maintain integrity of log file,Integrity,SR
390,system shall allow user to display message on rogue note screen warning student by name that port scanning is not allowed and this is automatically added to studentâs record if such an offence is repeated more than once,Functionality,SR
